,Multiple All,Multiple Fatal,Single All,Single Fatal,Total All,Total Fatal,end_date,start_date,total_reactions,first_react
Biotin,0,0,0,0,0,0,2016-02-03,1963-07-01,234,1984-07-01
Biperiden,0,0,0,0,0,0,2015-09-08,1963-07-01,4,1970-04-01
Bisacodyl,0,0,0,0,0,0,2016-01-20,1963-07-01,218,1964-08-08
Bismuth,0,0,2,0,2,0,2016-01-18,1963-07-01,524,1965-03-08
Bisoprolol,0,0,1,0,1,0,2016-02-09,1963-07-01,2925,
Bitrex Solution,0,0,0,0,0,0,2015-02-19,1963-07-01,8,2015-02-05
Bitter Orange Flavour,0,0,0,0,0,0,2009-11-30,1963-07-01,3,2009-05-01
Bivalirudin,0,0,0,0,0,0,2015-10-19,1963-07-01,86,2004-12-16
Black Pepper,0,0,0,0,0,0,2013-02-25,1963-07-01,22,2012-08-15
Bleomycin,0,0,0,0,0,0,2016-02-04,1963-07-01,515,1973-10-15
Bletilla,0,0,0,0,0,0,2012-01-19,1963-07-01,7,2007-10-22
Blinatumomab,0,0,0,0,0,0,2016-01-27,1963-07-01,6,
Blood,0,0,0,0,0,0,2015-12-28,1963-07-01,5,
Boceprevir,0,0,1,0,1,0,2015-10-19,1963-07-01,132,2011-04-30
Bonemeal,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1988-03-04
Borago,0,0,0,0,0,0,2015-11-24,1963-07-01,34,1996-11-14
Borax,0,0,0,0,0,0,2015-10-13,1963-07-01,30,2004-10-19
Boric Acid,0,0,0,0,0,0,2015-10-13,1963-07-01,30,2000-08-23
Borneol,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1982-12-08
Boron,0,0,0,0,0,0,2016-02-03,1963-07-01,31,2011-08-04
Bortezomib,0,0,1,0,1,0,2016-02-04,1963-07-01,2380,2003-09-24
Bosentan,0,0,0,0,0,0,2016-02-03,1963-07-01,292,2002-06-13
Bosutinib,0,0,0,0,0,0,2015-12-30,1963-07-01,56,2013-09-18
Boswellia Sacra,0,0,0,0,0,0,2012-01-19,1963-07-01,16,2007-10-22
Bovine Gallstone,0,0,0,0,0,0,2013-08-09,1963-07-01,1,
Bovine Part Unspecified,0,0,0,0,0,0,2011-12-13,1963-07-01,7,2006-09-09
Bovine Thyroid Gland,0,0,0,0,0,0,2011-12-10,1963-07-01,7,
Brassica,0,0,0,0,0,0,2012-05-12,1963-07-01,2,2008-03-24
Brentuximab Vedotin,0,0,3,0,3,0,2016-02-04,1963-07-01,278,2011-07-15
Bretylium,0,0,0,0,0,0,2012-05-08,1963-07-01,5,1969-01-26
Brimonidine,1,0,4,0,5,0,2016-02-02,1963-07-01,995,1997-04-23
Brincidofovir,0,0,0,0,0,0,2015-12-07,1963-07-01,2,2015-11-05
Brinzolamide,1,0,2,0,3,0,2016-01-06,1963-07-01,382,2000-04-30
Bromazepam,0,0,0,0,0,0,2013-11-21,1963-07-01,62,1982-10-15
Bromelains,0,0,0,0,0,0,2012-05-12,1963-07-01,17,1978-11-02
Bromfenac,0,0,0,0,0,0,2015-01-26,1963-07-01,8,2013-11-26
Bromhexine,0,0,0,0,0,0,2011-12-13,1963-07-01,138,1968-11-12
Bromocriptine,0,0,0,0,0,0,2016-01-18,1963-07-01,1001,1976-02-24
Brompheniramine,1,0,0,0,1,0,2015-07-23,1963-07-01,260,1967-06-02
Buclizine,2,0,0,0,2,0,2015-11-04,1963-07-01,129,1964-07-27
Budesonide,0,4,0,0,4,0,2016-02-08,1963-07-01,1896,1983-03-01
Bufexamac,0,0,0,0,0,0,2011-12-13,1963-07-01,18,1974-03-14
Bumetanide,0,0,0,0,0,0,2016-02-02,1963-07-01,687,1973-11-28
Bupivacaine,0,0,1,0,1,0,2015-12-17,1963-07-01,1019,1968-12-28
Bupleurum,0,0,0,0,0,0,2013-11-04,1963-07-01,45,2007-01-05
Buprenorphine,0,0,4,0,4,0,2016-02-02,1963-07-01,5304,1977-12-01
Bupropion,0,0,47,0,47,0,2015-11-30,1963-07-01,20557,2000-05-20
Buserelin,0,0,0,0,0,0,2016-01-13,1963-07-01,301,1986-11-01
Buspirone,0,0,2,0,2,0,2015-12-29,1963-07-01,843,1988-01-28
Busulphan,0,0,0,0,0,0,2016-01-12,1963-07-01,484,1964-08-18
Butane,0,0,0,0,0,0,2011-12-10,1963-07-01,7,
Butea Superba,0,0,0,0,0,0,2011-12-10,1963-07-01,8,2008-07-17
Butenafine,0,0,0,0,0,0,2011-12-17,1963-07-01,5,2011-10-04
Butethamate,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1982-04-06
Butobarbitone,0,0,0,0,0,0,2014-11-26,1963-07-01,58,1965-07-24
Butorphanol,0,0,0,0,0,0,2015-04-07,1963-07-01,4,1980-08-07
Butriptyline,0,0,0,0,0,0,2011-12-13,1963-07-01,40,1975-08-01
Butyl Aminobenzoate,0,0,0,0,0,0,2012-08-22,1963-07-01,6,1998-07-24
Butyl Hydroxybenzoate,0,0,0,0,0,0,2011-12-13,1963-07-01,1,2010-10-10
Butylated Hydroxytoluene,0,0,0,0,0,0,2012-06-01,1963-07-01,4,
Cabazitaxel,0,0,0,0,0,0,2016-02-04,1963-07-01,89,
Cabergoline,0,0,0,0,0,0,2016-02-09,1963-07-01,872,1993-08-31
Cadexomer Iodine,0,0,0,0,0,0,2012-05-08,1963-07-01,21,1983-06-12
Caffeine,2,0,0,0,2,0,2016-02-09,1963-07-01,2056,
Calamine,0,0,0,0,0,0,2015-03-18,1963-07-01,25,1969-08-07
Calamus,0,0,0,0,0,0,2009-11-12,1963-07-01,1,2009-07-13
Calcipotriol,0,0,0,0,0,0,2016-02-09,1963-07-01,1023,1991-04-28
Calcitonin,0,0,1,0,1,0,2015-10-07,1963-07-01,516,1973-06-27
Calcium,4,0,0,0,4,0,2016-02-09,1963-07-01,4740,1964-05-22
Calcium Hydroxide,0,0,0,0,0,0,2011-12-13,1963-07-01,18,1978-08-01
Calcium Iodide,0,0,0,0,0,0,2011-12-13,1963-07-01,4,1965-06-22
Calcium Magnesium Carbonate,0,0,0,0,0,0,2011-12-10,1963-07-01,2,
Calcium Sulphate,0,0,0,0,0,0,2016-02-09,1963-07-01,1,
Calendula,0,0,0,0,0,0,2015-10-01,1963-07-01,23,1986-10-30
Calotropis,0,0,0,0,0,0,2014-06-24,1963-07-01,4,
Camelia Sinensis,0,0,0,0,0,0,2016-01-20,1963-07-01,163,2002-11-22
Camphene,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1982-12-08
Camphor,0,0,0,0,0,0,2016-01-20,1963-07-01,162,1965-01-29
Canagliflozin,0,0,1,0,1,0,2016-02-08,1963-07-01,395,2014-05-22
Canakinumab,0,0,0,0,0,0,2015-12-11,1963-07-01,39,2010-10-25
Cananga Odorata,0,0,0,0,0,0,2011-12-10,1963-07-01,1,
Candesartan,0,0,5,0,5,0,2016-02-09,1963-07-01,2222,1998-01-23
Cannabidiol,0,0,0,0,0,0,2015-10-09,1963-07-01,100,2006-01-13
Cannabis Sativa,0,0,0,0,0,0,2015-12-30,1963-07-01,282,
Canrenoic Acid,0,0,0,0,0,0,2016-01-07,1963-07-01,5,1984-08-23
Cantharides,0,0,0,0,0,0,2011-12-10,1963-07-01,8,2008-07-26
Cantharidin,0,0,0,0,0,0,2011-12-13,1963-07-01,3,
Capecitabine,0,0,4,0,4,0,2016-02-09,1963-07-01,2714,2000-12-19
Capreomycin,0,0,0,0,0,0,2014-04-22,1963-07-01,50,1966-04-26
Capric Acid,0,0,0,0,0,0,2012-07-17,1963-07-01,2,2012-05-04
Caprine Serum Polyclonal Antibodies,0,0,0,0,0,0,2012-05-08,1963-07-01,7,2008-08-12
Capsaicin,0,0,0,0,0,0,2016-01-08,1963-07-01,222,1993-03-18
Capsicum,0,0,0,0,0,0,2016-01-20,1963-07-01,156,1966-12-19
Capsinoids,0,0,0,0,0,0,2011-12-15,1963-07-01,1,
Captopril,0,0,9,0,9,0,2015-11-30,1963-07-01,5781,1979-06-23
Carbachol,0,0,0,0,0,0,2011-12-13,1963-07-01,7,1973-02-24
Carbamazepine,0,0,18,0,18,0,2016-02-03,1963-07-01,11965,1964-02-01
Carbaryl,0,0,0,0,0,0,2012-05-12,1963-07-01,40,
Carbenicillin,0,0,0,0,0,0,2011-12-13,1963-07-01,15,1968-09-06
Carbenoxolone,0,0,0,0,0,0,2012-05-08,1963-07-01,470,1964-06-23
Carbetocin,0,0,0,0,0,0,2016-01-21,1963-07-01,8,2007-01-21
Carbidopa,4,0,0,0,4,0,2016-02-08,1963-07-01,2355,1973-07-01
Carbimazole,0,0,0,0,0,0,2015-12-10,1963-07-01,2063,1964-05-23
Carbinoxamine,0,0,0,0,0,0,2012-07-23,1963-07-01,11,1967-07-20
Carbocisteine,0,0,0,0,0,0,2016-02-08,1963-07-01,514,1973-04-20
Carbohydrates,0,0,0,0,0,0,2015-10-05,1963-07-01,13,2008-09-12
Carbomer,0,0,0,0,0,0,2016-01-15,1963-07-01,107,1994-06-10
Carbon,0,0,0,0,0,0,2012-01-14,1963-07-01,3,2016-02-02
Carbon 13,0,0,0,0,0,0,2011-12-13,1963-07-01,3,
Carbon Dioxide,0,0,0,0,0,0,2013-05-29,1963-07-01,30,1999-11-15
Carboplatin,0,0,0,0,0,0,2016-02-08,1963-07-01,2182,1986-09-05
Carboprost,0,0,0,0,0,0,2015-11-30,1963-07-01,137,1974-05-18
Carbromal,0,0,0,0,0,0,2011-12-13,1963-07-01,41,1964-06-24
Carbuterol,0,0,0,0,0,0,2011-12-13,1963-07-01,6,1987-12-01
Cardiospermum,0,0,0,0,0,0,2015-07-21,1963-07-01,3,2006-03-01
Carfecillin,0,0,0,0,0,0,2011-12-13,1963-07-01,40,1975-06-10
Carfilzomib,0,0,0,0,0,0,2015-12-14,1963-07-01,1,2015-09-01
Carglumic Acid,0,0,0,0,0,0,2015-05-05,1963-07-01,16,2003-10-22
Carica,0,0,0,0,0,0,2012-05-12,1963-07-01,3,2008-08-26
Carisoprodol,1,0,1,0,2,0,2014-12-03,1963-07-01,123,1964-09-04
Carmellose,0,0,0,0,0,0,2015-09-29,1963-07-01,60,1974-08-01
Carmustine,0,0,0,0,0,0,2015-12-30,1963-07-01,149,1975-11-11
Carteolol,0,0,0,0,0,0,2014-10-16,1963-07-01,75,1986-07-08
Carthamus,0,0,0,0,0,0,2014-11-13,1963-07-01,35,1976-01-01
Carum,0,0,0,0,0,0,2012-01-14,1963-07-01,3,2001-01-31
Carum Carvi,0,0,0,0,0,0,2014-06-24,1963-07-01,9,
Carvedilol,0,0,1,0,1,0,2016-01-29,1963-07-01,401,1994-11-22
Casearia,0,0,0,0,0,0,2014-06-24,1963-07-01,4,
Casein,0,0,0,0,0,0,2013-11-08,1963-07-01,1,2009-12-04
Caspofungin,0,0,0,0,0,0,2015-11-04,1963-07-01,170,2002-08-02
Cassia,0,0,0,0,0,0,2015-10-15,1963-07-01,27,2009-12-15
Cat Hair,0,0,0,0,0,0,2011-12-10,1963-07-01,7,2003-11-28
Catalase,0,0,0,0,0,0,2011-12-13,1963-07-01,6,1995-06-17
Catechu,0,0,0,0,0,0,2012-01-14,1963-07-01,1,1996-08-21
Catha,0,0,0,0,0,0,2013-06-07,1963-07-01,13,
Caulophyllum,0,0,0,0,0,0,2011-12-10,1963-07-01,1,
Causticum,0,0,0,0,0,0,2013-10-22,1963-07-01,1,
Cedrus,0,0,0,0,0,0,2014-06-24,1963-07-01,4,
Cefaclor,0,0,0,0,0,0,2016-02-09,1963-07-01,1244,1979-03-29
Cefadroxil,0,0,0,0,0,0,2012-05-12,1963-07-01,175,1983-02-01
Cefalexin,0,0,3,0,3,0,2016-02-08,1963-07-01,2076,1969-12-31
Cefixime,0,0,0,0,0,0,2015-11-04,1963-07-01,465,1990-07-09
Cefotaxime,0,0,1,0,1,0,2016-01-20,1963-07-01,491,1981-05-19
Cefoxitin,0,0,0,0,0,0,2015-11-30,1963-07-01,41,1977-06-01
Cefpirome,0,0,0,0,0,0,2015-06-26,1963-07-01,4,1996-04-18
Cefpodoxime,0,0,0,0,0,0,2012-05-08,1963-07-01,53,1991-02-14
Cefsulodin,0,0,0,0,0,0,2011-12-13,1963-07-01,2,1983-01-05
Ceftazidime,0,0,0,0,0,0,2016-02-04,1963-07-01,758,1983-12-01
Ceftibuten,0,0,0,0,0,0,2012-05-12,1963-07-01,21,1994-09-22
Ceftizoxime,0,0,0,0,0,0,2015-07-23,1963-07-01,17,1984-01-21
Ceftriaxone,0,0,0,0,0,0,2016-02-09,1963-07-01,653,1984-02-06
Cefuroxime,0,0,0,0,0,0,2016-01-22,1963-07-01,1707,1978-05-01
Celecoxib,0,0,6,0,6,0,2016-02-03,1963-07-01,4680,2000-04-25
Celiprolol,0,0,0,0,0,0,2015-11-04,1963-07-01,668,1991-08-19
Cellulase,0,0,0,0,0,0,2014-03-28,1963-07-01,11,
Cellulose,0,0,0,0,0,0,2015-06-03,1963-07-01,17,2007-11-12
Centaurium Erythraea,0,0,0,0,0,0,2013-08-09,1963-07-01,5,2013-02-03
Centella,0,0,0,0,0,0,2015-12-03,1963-07-01,69,2004-01-29
Cephaelis Ipecacuanha,0,0,0,0,0,0,2015-12-01,1963-07-01,91,1968-05-17
Cephaloridine,0,0,0,0,0,0,2011-12-13,1963-07-01,118,1964-12-22
Cephalothin,0,0,0,0,0,0,2011-12-13,1963-07-01,15,1969-08-15
Cephamandole,0,0,0,0,0,0,2015-11-30,1963-07-01,19,1979-10-24
Cephazolin,0,0,0,0,0,0,2015-11-30,1963-07-01,32,1974-10-28
Cephradine,0,0,0,0,0,0,2015-11-30,1963-07-01,528,1974-01-28
Ceratonia,0,0,0,0,0,0,2013-11-21,1963-07-01,2,2013-01-16
Cercis,0,0,0,0,0,0,2011-12-15,1963-07-01,3,2003-09-04
Ceresin,0,0,0,0,0,0,2015-05-07,1963-07-01,1,2015-04-21
Cerivastatin,0,0,0,0,0,0,2016-02-09,1963-07-01,951,
Certolizumab,0,0,0,0,0,0,2016-02-08,1963-07-01,1493,
Certoparin,0,0,0,0,0,0,2012-05-08,1963-07-01,10,1998-02-19
Cetalkonium,0,0,0,0,0,0,2015-03-10,1963-07-01,122,1972-03-15
Cetirizine,0,0,3,0,3,0,2016-02-08,1963-07-01,2227,1988-10-12
Cetostearyl Alcohol,0,0,0,0,0,0,2015-08-21,1963-07-01,41,2011-02-25
Cetostearyl Sulphate,0,0,0,0,0,0,2014-12-19,1963-07-01,2,2014-12-02
Cetrimide,0,0,0,0,0,0,2016-01-20,1963-07-01,363,1964-01-01
Cetrorelix,0,0,1,0,1,0,2016-01-27,1963-07-01,27,2000-07-07
Cetuximab,0,0,0,0,0,0,2016-02-02,1963-07-01,417,2004-06-28
Cetyl Alcohol,0,0,0,0,0,0,2014-05-23,1963-07-01,12,2014-02-18
Cetylpyridinium,0,0,0,0,0,0,2016-02-02,1963-07-01,251,1967-06-22
Chaenomeles,0,0,0,0,0,0,2012-05-12,1963-07-01,15,2006-10-30
Chalk,0,0,0,0,0,0,2015-02-25,1963-07-01,90,1997-12-02
Chamaelirium,0,0,1,0,1,0,2012-01-17,1963-07-01,4,2007-08-13
Chamaelirium Luteum,0,0,1,0,1,0,2011-12-10,1963-07-01,4,2007-08-13
Chamaemulum_Nobile,0,0,1,0,1,0,2015-02-09,1963-07-01,36,
Characterised Viable Autologous Cartilage Cells Expanded Ex Vivo Expressing Specific Marker Proteins,0,0,0,0,0,0,2014-08-13,1963-07-01,1,
Charcoal Activated,0,0,0,0,0,0,2016-02-03,1963-07-01,19,1983-10-29
Chelidonium,0,0,0,0,0,0,2013-04-19,1963-07-01,2,
Chenodeoxycholic Acid,0,0,0,0,0,0,2011-12-13,1963-07-01,100,1978-06-01
Chimaphila,0,0,0,0,0,0,2012-05-12,1963-07-01,1,
Chimeric Human Murine Monoclonal Antibody Cac10 Anti Cd30 Linked To Cytotoxic Molecule Sgd 1006,0,0,3,0,3,0,2015-10-13,1963-07-01,266,2011-07-15
Chitin,0,0,0,0,0,0,2013-11-08,1963-07-01,19,2009-12-04
Chitosan,0,0,0,0,0,0,2013-08-09,1963-07-01,3,2013-07-20
Chloral Hydrate,0,0,0,0,0,0,2016-01-18,1963-07-01,411,1964-05-01
Chlorambucil,0,0,0,0,0,0,2015-12-17,1963-07-01,407,1967-10-23
Chloramphenicol,0,0,0,0,0,0,2016-01-08,1963-07-01,981,1963-10-01
Chlorbutol,0,0,0,0,0,0,2016-01-11,1963-07-01,94,1965-03-20
Chlordiazepoxide,1,0,1,0,2,0,2015-10-08,1963-07-01,655,1964-02-22
Chlorella,0,0,0,0,0,0,2013-08-09,1963-07-01,12,2013-07-08
Chlorhexidine,0,0,1,0,1,0,2016-02-08,1963-07-01,1644,1965-03-20
Chloride Ion,0,0,0,0,0,0,2011-12-10,1963-07-01,2,
Chlorin E6,0,0,0,0,0,0,2014-03-07,1963-07-01,1,
Chlorine Dioxide,0,0,0,0,0,0,2012-05-08,1963-07-01,1,
Chlormadinone,0,0,0,0,0,0,2013-02-01,1963-07-01,50,1967-09-19
Chlormethiazole,0,0,0,0,0,0,2015-11-30,1963-07-01,701,1967-06-01
Chlormethine,0,0,0,0,0,0,2015-08-28,1963-07-01,17,1963-11-01
Chlormezanone,2,0,0,0,2,0,2012-05-12,1963-07-01,227,1964-11-03
Chlorocresol,0,0,0,0,0,0,2015-11-25,1963-07-01,41,1980-07-29
Chloroform,0,0,0,0,0,0,2011-12-13,1963-07-01,6,1985-03-22
Chlorophyll,0,0,0,0,0,0,2012-05-12,1963-07-01,6,2010-11-25
Chlorophytum,0,0,0,0,0,0,2012-01-14,1963-07-01,7,2009-08-15
Chloroquine,0,0,3,0,3,0,2016-01-14,1963-07-01,1571,1963-11-01
Chlorothiazide,0,0,0,0,0,0,2015-06-11,1963-07-01,55,1964-05-18
Chlorothymol,0,0,0,0,0,0,2015-06-26,1963-07-01,19,1981-11-02
Chloroxylenol,0,0,0,0,0,0,2015-11-17,1963-07-01,69,1966-08-20
Chlorphenesin,0,0,0,0,0,0,2012-05-08,1963-07-01,9,1970-08-07
Chlorpheniramine,0,0,3,0,3,0,2016-02-04,1963-07-01,1097,1963-07-01
Chlorphentermine,0,0,0,0,0,0,2012-05-12,1963-07-01,49,1964-06-02
Chlorpromazine,0,0,0,0,0,0,2016-01-20,1963-07-01,2002,1963-11-01
Chlorpropamide,0,0,0,0,0,0,2015-11-30,1963-07-01,344,1964-06-09
Chlorprothixene,0,0,0,0,0,0,2011-12-13,1963-07-01,2,1977-02-01
Chlorquinaldol,0,0,0,0,0,0,2012-05-08,1963-07-01,16,1965-05-15
Chlortetracycline,0,0,0,0,0,0,2016-02-08,1963-07-01,433,1965-02-02
Chlorthalidone,2,0,0,0,2,0,2015-12-04,1963-07-01,1482,1964-01-04
Cholestyramine,0,0,0,0,0,0,2016-02-01,1963-07-01,298,1972-11-15
Choline,0,0,0,0,0,0,2015-11-20,1963-07-01,61,1980-08-29
Choline Theophyllinate,0,0,1,0,1,0,2011-12-13,1963-07-01,71,1964-06-29
Chondroitin,0,0,0,0,0,0,2014-06-03,1963-07-01,58,2003-11-04
Chondroitin Sulphate,0,0,0,0,0,0,2014-01-31,1963-07-01,9,2009-05-01
Chorionic Gonadotrophin,0,0,0,0,0,0,2016-01-06,1963-07-01,170,
Chromium,0,0,0,0,0,0,2016-01-12,1963-07-01,199,1994-05-28
Chromium 51,0,0,0,0,0,0,2012-05-12,1963-07-01,17,1997-04-17
Chrysanthemum,0,0,0,0,0,0,2012-05-12,1963-07-01,19,2004-06-12
Chymopapain,0,0,0,0,0,0,2012-05-08,1963-07-01,20,1978-09-10
Chymotrypsin,0,0,0,0,0,0,2012-01-14,1963-07-01,85,1965-11-13
Cibotium,0,0,0,0,0,0,2012-05-12,1963-07-01,14,2011-05-15
Cichorium,0,0,0,0,0,0,2012-05-12,1963-07-01,4,2004-09-24
Ciclacillin,0,0,0,0,0,0,2012-01-14,1963-07-01,39,1980-10-30
Ciclesonide,0,0,0,0,0,0,2016-01-08,1963-07-01,85,2005-03-01
Cider Vinegar,0,0,0,0,0,0,2012-09-12,1963-07-01,6,2008-08-26
Cidofovir,0,0,0,0,0,0,2015-11-04,1963-07-01,119,1997-05-02
Cilastatin,0,0,0,0,0,0,2016-02-03,1963-07-01,196,
Cilazapril,0,0,0,0,0,0,2015-11-03,1963-07-01,126,1991-07-03
Cilostazol,0,0,0,0,0,0,2016-01-14,1963-07-01,310,2002-10-03
Cimetidine,0,0,19,0,19,0,2016-01-20,1963-07-01,7808,1976-03-25
Cimicifuga,0,0,0,0,0,0,2012-08-20,1963-07-01,145,1998-09-10
Cimicifuga Dahurica,0,0,0,0,0,0,2012-01-11,1963-07-01,7,2007-10-22
Cinacalcet,0,0,0,0,0,0,2016-02-08,1963-07-01,296,2005-04-21
Cinchocaine,0,0,0,0,0,0,2015-10-28,1963-07-01,120,1964-06-29
Cineole,0,0,0,0,0,0,2014-02-21,1963-07-01,28,1982-12-08
Cinnamomum,0,0,1,0,1,0,2015-10-30,1963-07-01,58,2010-07-11
Cinnarizine,0,0,0,0,0,0,2016-02-01,1963-07-01,407,1971-03-15
Cinoxacin,0,0,0,0,0,0,2012-05-12,1963-07-01,98,1979-08-14
Ciprofibrate,0,0,0,0,0,0,2014-01-29,1963-07-01,608,1992-10-31
Ciprofloxacin,0,0,13,0,13,0,2016-02-09,1963-07-01,10381,1986-02-18
Cirsium,0,0,0,0,0,0,2015-09-18,1963-07-01,1,2014-07-15
Cisapride,0,0,3,0,3,0,2015-11-30,1963-07-01,1532,1989-04-25
Cisatracurium,0,0,0,0,0,0,2015-11-30,1963-07-01,39,1996-10-07
Cisplatin,0,0,1,0,1,0,2016-02-09,1963-07-01,1768,1979-04-05
Cissampelos,0,0,0,0,0,0,2011-12-10,1963-07-01,1,2004-07-08
Citalopram,0,0,54,0,54,0,2016-02-09,1963-07-01,11810,
Citicholine,0,0,0,0,0,0,2015-05-01,1963-07-01,1,2014-10-23
Citric Acid,2,0,0,0,2,0,2015-12-24,1963-07-01,796,1964-05-22
Citrus Aurantium,0,0,0,0,0,0,2016-02-04,1963-07-01,120,2007-05-19
Citrus Limon,0,0,0,0,0,0,2013-04-19,1963-07-01,21,1973-08-09
Citrus Paradisi,0,0,0,0,0,0,2015-08-03,1963-07-01,71,2004-10-07
Citrus Reticulata,0,0,0,0,0,0,2012-05-12,1963-07-01,39,2007-10-21
Citrus Sinensis,0,0,0,0,0,0,2013-02-25,1963-07-01,14,2012-11-12
Cladribine,0,0,0,0,0,0,2016-01-29,1963-07-01,134,
Clarithromycin,0,0,8,0,8,0,2016-02-09,1963-07-01,6764,
Claviceps Purpurea,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1986-09-08
Clavulanic Acid,3,0,0,0,3,0,2016-02-09,1963-07-01,6834,
Clemastine,0,0,1,0,1,0,2015-05-19,1963-07-01,77,1972-02-23
Clematis,0,0,0,0,0,0,2015-02-02,1963-07-01,6,2004-07-03
Clemizole,0,0,0,0,0,0,2011-12-13,1963-07-01,3,1965-03-04
Clenbuterol,0,0,0,0,0,0,2016-01-26,1963-07-01,11,2013-03-11
Clidinium,1,0,0,0,1,0,2014-01-31,1963-07-01,92,1965-03-16
Clindamycin,0,0,1,0,1,0,2016-02-09,1963-07-01,1557,1969-12-18
Clioquinol,0,0,3,0,3,0,2016-02-08,1963-07-01,388,1965-02-06
Clobazam,0,0,4,0,4,0,2016-01-12,1963-07-01,838,1979-04-14
Clobetasol,0,0,0,0,0,0,2016-01-18,1963-07-01,280,1973-10-09
Clobetasone,0,0,0,0,0,0,2016-02-08,1963-07-01,226,1978-01-18
Clodronic Acid,0,0,0,0,0,0,2015-09-23,1963-07-01,164,1990-10-20
Clofarabine,0,0,0,0,0,0,2015-02-09,1963-07-01,178,2005-11-01
Clofazimine,0,0,0,0,0,0,2012-05-08,1963-07-01,23,1975-11-27
Clofenotane,0,0,0,0,0,0,2012-01-14,1963-07-01,6,1972-03-01
Clofibrate,0,0,1,0,1,0,2012-05-08,1963-07-01,368,1964-03-01
Clomiphene,0,0,0,0,0,0,2015-09-21,1963-07-01,778,1968-12-09
Clomipramine,0,0,5,0,5,0,2016-01-15,1963-07-01,2064,1968-11-08
Clomocycline,0,0,0,0,0,0,2012-01-14,1963-07-01,26,1967-07-03
Clonazepam,0,0,4,0,4,0,2016-02-08,1963-07-01,934,
Clonazolam,0,0,0,0,0,0,2015-09-23,1963-07-01,5,2015-08-23
Clonidine,0,0,2,0,2,0,2015-11-30,1963-07-01,1433,1970-05-09
Clopamide,0,0,0,0,0,0,2012-01-14,1963-07-01,704,1968-04-29
Clopenthixol,0,0,0,0,0,0,2012-05-12,1963-07-01,21,1978-08-26
Clopidogrel,0,0,2,0,2,0,2016-02-08,1963-07-01,4772,1998-09-12
Clorazepic Acid,0,0,1,0,1,0,2014-10-24,1963-07-01,225,1973-12-01
Clostridium Botulinum,0,0,2,0,2,0,2016-02-08,1963-07-01,1551,1989-11-17
Clostridium Tetani,1,0,0,0,1,0,2011-12-15,1963-07-01,31205,1963-11-22
Clotrimazole,0,0,0,0,0,0,2016-02-09,1963-07-01,858,
Cloxacillin,0,0,0,0,0,0,2011-12-13,1963-07-01,66,1964-06-22
Clozapine,0,0,30,0,30,0,2016-02-09,1963-07-01,90705,
Cmv Tcr Transduced Allogeneic Differentiated T Cells,0,0,0,0,0,0,2012-05-15,1963-07-01,2,
Cnicus,0,0,0,0,0,0,2014-08-25,1963-07-01,6,2014-05-31
Co Dergocrine Mesylate,0,0,0,0,0,0,2012-01-14,1963-07-01,47,1974-12-06
Coal Tar,0,0,0,0,0,0,2015-10-06,1963-07-01,136,1967-12-15
Cobalt Gluconate,0,0,0,0,0,0,2014-01-24,1963-07-01,5,
Cobalt Sulphate,0,0,0,0,0,0,2011-12-10,1963-07-01,3,
Cobicistat,0,0,0,0,0,0,2016-02-09,1963-07-01,94,2013-09-30
Cocaine,0,0,0,0,0,0,2015-11-30,1963-07-01,266,1989-07-11
Cochlearia,0,0,0,0,0,0,2012-01-14,1963-07-01,1,2003-07-17
Cocos Nucifera,0,0,0,0,0,0,2013-07-11,1963-07-01,11,1995-01-31
Cod Liver Oil,0,0,1,0,1,0,2016-02-03,1963-07-01,101,1998-06-07
Codeine,8,0,2,0,10,0,2016-02-08,1963-07-01,5597,1964-02-09
Codonopsis,0,0,1,0,1,0,2014-11-13,1963-07-01,29,2005-09-08
Codonopsis Pilosula,0,0,0,0,0,0,2012-01-11,1963-07-01,5,2011-09-15
Coffea,0,0,0,0,0,0,2016-01-20,1963-07-01,22,1991-01-29
Coix Lacryma Jobi,0,0,0,0,0,0,2015-10-15,1963-07-01,23,1997-05-01
Cola,0,0,1,0,1,0,2014-09-15,1963-07-01,17,2001-07-16
Colchicine,0,0,0,0,0,0,2016-02-01,1963-07-01,374,1964-05-01
Colchicum,0,0,0,0,0,0,2012-01-14,1963-07-01,6,1987-09-15
Colesevelam,0,0,0,0,0,0,2015-09-28,1963-07-01,50,2007-11-03
Colestipol,0,0,0,0,0,0,2013-05-09,1963-07-01,71,1979-12-08
Coleus,0,0,0,0,0,0,2012-05-08,1963-07-01,10,2009-05-01
Colfosceril,0,0,0,0,0,0,2012-05-08,1963-07-01,36,1991-03-22
Collagen,0,0,0,0,0,0,2012-05-08,1963-07-01,16,1986-11-01
Collagenase,0,0,0,0,0,0,2016-01-07,1963-07-01,30,2013-04-16
Collodion,0,0,0,0,0,0,2011-12-10,1963-07-01,3,1999-04-22
Colloidal Anhydrous Silica,0,0,0,0,0,0,2016-01-22,1963-07-01,35,2004-09-24
Commiphora,0,0,0,0,0,0,2015-05-07,1963-07-01,41,1974-04-03
