,amnesia,total,ratio
Chondroitin,1070.0,510000.0,0.00209803921569
Chondroitin Sulphate,400.0,54200.0,0.00738007380074
Chorionic Gonadotrophin,830.0,63700.0,0.0130298273155
Chromium,3720.0,3520000.0,0.00105681818182
Chromium 51,27800.0,1100000.0,0.0252727272727
Chrysanthemum,4360.0,1640000.0,0.00265853658537
Chymopapain,33.0,8860.0,0.00372460496614
Chymotrypsin,186.0,164000.0,0.00113414634146
Cibotium,13.0,7070.0,0.0018387553041
Cichorium,124.0,92500.0,0.00134054054054
Ciclacillin,0.0,353.0,0.0
Ciclesonide,43.0,16500.0,0.00260606060606
Cider Vinegar,3220.0,1640000.0,0.00196341463415
Cidofovir,203.0,34300.0,0.00591836734694
Cilastatin,120.0,27800.0,0.00431654676259
Cilazapril,55.0,15700.0,0.00350318471338
Cilostazol,4450.0,59400.0,0.0749158249158
Cimetidine,6320.0,164000.0,0.0385365853659
Cimicifuga,118.0,92200.0,0.00127982646421
Cimicifuga Dahurica,18.0,2190.0,0.00821917808219
Cinacalcet,44.0,26600.0,0.00165413533835
Cinchocaine,34.0,4260.0,0.00798122065728
Cineole,281.0,49600.0,0.00566532258065
Cinnamomum,687.0,170000.0,0.00404117647059
Cinnarizine,161.0,23500.0,0.00685106382979
Cinoxacin,20600.0,4550.0,4.52747252747
Ciprofibrate,27.0,8790.0,0.00307167235495
Ciprofloxacin,8420.0,538000.0,0.0156505576208
Cirsium,73.0,111000.0,0.000657657657658
Cisapride,822.0,59800.0,0.013745819398
Cisatracurium,1560.0,16700.0,0.0934131736527
Cisplatin,3150.0,602000.0,0.00523255813953
Cissampelos,67.0,9870.0,0.00678824721378
Citalopram,11600.0,462000.0,0.0251082251082
Citicholine,751.0,2750.0,0.273090909091
Citric Acid,7990.0,1260000.0,0.00634126984127
Citrus Aurantium,223.0,131000.0,0.00170229007634
Citrus Limon,12200.0,170000.0,0.0717647058824
Citrus Paradisi,35.0,48500.0,0.000721649484536
Citrus Reticulata,104.0,62400.0,0.00166666666667
Citrus Sinensis,225.0,208000.0,0.00108173076923
Cladribine,78.0,27200.0,0.00286764705882
Clarithromycin,3340.0,237000.0,0.0140928270042
Claviceps Purpurea,219.0,22100.0,0.00990950226244
Clavulanic Acid,3410.0,95100.0,0.0358569926393
Clemastine,148.0,18400.0,0.00804347826087
Clematis,1760.0,968000.0,0.00181818181818
Clemizole,7.0,1760.0,0.00397727272727
Clenbuterol,1250.0,287000.0,0.00435540069686
Clidinium,110.0,7240.0,0.0151933701657
Clindamycin,3270.0,307000.0,0.010651465798
Clioquinol,185.0,21100.0,0.00876777251185
Clobazam,1780.0,38000.0,0.0468421052632
Clobetasol,4250.0,89400.0,0.0475391498881
Clobetasone,155.0,6070.0,0.0255354200988
Clodronic Acid,30.0,2250.0,0.0133333333333
Clofarabine,37.0,14600.0,0.00253424657534
Clofazimine,46.0,21200.0,0.00216981132075
Clofenotane,0.0,370.0,0.0
Clofibrate,118.0,31100.0,0.00379421221865
Clomiphene,2030.0,220000.0,0.00922727272727
Clomipramine,2050.0,118000.0,0.0173728813559
Clomocycline,1.0,554.0,0.00180505415162
Clonazepam,21000.0,344000.0,0.0610465116279
Clonazolam,179.0,5990.0,0.0298831385643
Clonidine,10800.0,257000.0,0.0420233463035
Clopamide,23.0,3010.0,0.00764119601329
Clopenthixol,47.0,2230.0,0.0210762331839
Clopidogrel,8470.0,330000.0,0.0256666666667
Clorazepic Acid,14.0,160.0,0.0875
Clostridium Botulinum,6080.0,138000.0,0.0440579710145
Clostridium Tetani,206.0,52600.0,0.00391634980989
Clotrimazole,833.0,152000.0,0.00548026315789
Cloxacillin,77.0,50600.0,0.00152173913043
Clozapine,10900.0,168000.0,0.064880952381
Cmv Tcr Transduced Allogeneic Differentiated T Cells,4.0,3260.0,0.00122699386503
Cnicus,7.0,18100.0,0.000386740331492
Co Dergocrine Mesylate,25.0,476.0,0.0525210084034
Coal Tar,2190.0,519000.0,0.00421965317919
Cobalt Gluconate,32.0,9820.0,0.00325865580448
Cobalt Sulphate,1210.0,71200.0,0.0169943820225
Cobicistat,266.0,19000.0,0.014
Cocaine,63300.0,5150000.0,0.0122912621359
Cochlearia,8.0,19600.0,0.000408163265306
Cocos Nucifera,178.0,190000.0,0.000936842105263
Cod Liver Oil,1410.0,503000.0,0.00280318091451
Codeine,12400.0,816000.0,0.0151960784314
Codonopsis,180.0,36300.0,0.00495867768595
Codonopsis Pilosula,96.0,8730.0,0.0109965635739
Coffea,177000.0,193000.0,0.917098445596
Coix Lacryma Jobi,63.0,12500.0,0.00504
Cola,96600.0,27700000.0,0.00348736462094
Colchicine,2350.0,282000.0,0.00833333333333
Colchicum,143.0,94600.0,0.00151162790698
Colesevelam,63.0,16000.0,0.0039375
Colestipol,344.0,35400.0,0.00971751412429
Coleus,497.0,787.0,0.631512071156
Colfosceril,2.0,1340.0,0.00149253731343
Collagen,9280.0,5970000.0,0.00155443886097
Collagenase,319.0,435000.0,0.000733333333333
Collodion,1360.0,99600.0,0.0136546184739
Colloidal Anhydrous Silica,626.0,29200.0,0.0214383561644
Commiphora,251.0,73000.0,0.00343835616438
Complement C1 Esterase Inhibitor,62.0,8970.0,0.00691192865106
Conjugated Linoleic Acid,272.0,176000.0,0.00154545454545
Convolvulus,351.0,125000.0,0.002808
Copper,52500.0,24200000.0,0.0021694214876
Coptis,154.0,30600.0,0.00503267973856
Coriandrum Sativum,251.0,63700.0,0.00394034536892
Cornus,515.0,339000.0,0.0015191740413
Cortex Dictamni Radicis,4.0,264.0,0.0151515151515
Corticorelin,7.0,1530.0,0.00457516339869
Corticotrophin,5410.0,51900.0,0.104238921002
Cortisone,20300.0,603000.0,0.0336650082919
Corydalis,782.0,99100.0,0.00789101917255
Corylus,80.0,167000.0,0.000479041916168
Corymbia,7270.0,32400.0,0.224382716049
Coumarin,8770.0,311000.0,0.0281993569132
Cowhage,24.0,6640.0,0.00361445783133
Crataegus,347.0,219000.0,0.00158447488584
Creatine,25900.0,2450000.0,0.0105714285714
Crelizumab,0.0,18.0,0.0
Creosote,359.0,204000.0,0.00175980392157
Cresol,113.0,180000.0,0.000627777777778
Crizotinib,94.0,52800.0,0.0017803030303
Crocus,2000.0,1070000.0,0.0018691588785
Crodamol,0.0,2410.0,0.0
Cromoglycic Acid,38.0,2130.0,0.0178403755869
Cropropamide,4.0,1060.0,0.00377358490566
Crotamiton,34.0,17100.0,0.00198830409357
Crotethamide,1.0,125.0,0.008
Cucurbita,157.0,176000.0,0.000892045454545
Cupric Oxide,3340.0,61400.0,0.0543973941368
Curcuma,1760.0,946000.0,0.00186046511628
Curcumin,2390.0,549000.0,0.00435336976321
Cuscuta,172.0,56700.0,0.00303350970018
Cyanamide,114.0,30800.0,0.0037012987013
Cyathula,33.0,4620.0,0.00714285714286
Cyclandelate,29.0,2680.0,0.0108208955224
Cyclizine,242.0,17200.0,0.0140697674419
Cyclobarbitone,89.0,2990.0,0.0297658862876
Cyclobenzaprine,7100.0,72300.0,0.0982019363762
Cyclofenil,5.0,3240.0,0.00154320987654
Cyclopenthiazide,18.0,2350.0,0.00765957446809
Cyclopentolate,148.0,19400.0,0.00762886597938
Cyclophosphamide,13700.0,447000.0,0.0306487695749
Cyclopropane,714.0,103000.0,0.00693203883495
Cycloserine,1280.0,41300.0,0.0309927360775
Cyclosporin,9080.0,232000.0,0.0391379310345
Cymbopogon,174.0,115000.0,0.00151304347826
Cynara,189.0,193000.0,0.000979274611399
Cynomorium Songarium,4.0,30.0,0.133333333333
Cyperus,284.0,172000.0,0.0016511627907
Cyproheptadine,750.0,66900.0,0.0112107623318
Cyproterone,118.0,42000.0,0.00280952380952
Cysteamine,741.0,68100.0,0.0108810572687
Cysteine,2850.0,1450000.0,0.00196551724138
Cystine,3000.0,238000.0,0.0126050420168
Cytarabine,912.0,105000.0,0.00868571428571
Dabigatran,1810.0,115000.0,0.0157391304348
Dacarbazine,154.0,54100.0,0.00284658040665
Daclizumab,185.0,28600.0,0.00646853146853
Dactinomycin,79.0,21900.0,0.00360730593607
Dactylis Glomerata,45.0,45400.0,0.000991189427313
Dalcetrapib,9.0,5300.0,0.00169811320755
Dalfopristin,56.0,18900.0,0.00296296296296
Dalteparin,179.0,33300.0,0.00537537537538
Danaparoid,109.0,12200.0,0.00893442622951
Danazol,459.0,129000.0,0.00355813953488
Danthron,20.0,2480.0,0.00806451612903
Dantrolene,1160.0,32000.0,0.03625
Dapagliflozin,67.0,26300.0,0.00254752851711
Dapoxetine,15100.0,359000.0,0.042061281337
Dapsone,557.0,109000.0,0.00511009174312
Daptomycin,91.0,40800.0,0.00223039215686
Darbepoetin Alfa,90.0,23700.0,0.00379746835443
Darifenacin,129.0,16100.0,0.00801242236025
Darunavir,505.0,42500.0,0.0118823529412
Dasatinib,310.0,72100.0,0.00429958391123
Daucus,153.0,159000.0,0.000962264150943
Daunorubicin,3020.0,70700.0,0.0427157001414
Deanol,58.0,6600.0,0.00878787878788
Debrisoquine,126.0,12600.0,0.01
Decitabine,68.0,30700.0,0.00221498371336
Decyl Methyl Sulphoxide,12.0,5670.0,0.0021164021164
Deferasirox,162.0,25600.0,0.006328125
Deferiprone,44.0,20000.0,0.0022
Defibrotide,18.0,6520.0,0.00276073619632
Deflazacort,235.0,48600.0,0.0048353909465
Deforolimus,1.0,2570.0,0.000389105058366
Degarelix,95.0,13500.0,0.00703703703704
Dehydrocholic Acid,31.0,2480.0,0.0125
Delavirdine,2080.0,19400.0,0.107216494845
Delorazepam,219.0,6020.0,0.0363787375415
Delphenium Staphisagria,38.0,4090.0,0.00929095354523
Demeclocycline,86.0,15000.0,0.00573333333333
Denatonium,17.0,18200.0,0.000934065934066
Denosumab,301.0,80700.0,0.00372986369269
Deoxyribonuclease,388.0,48100.0,0.00806652806653
Depsipeptide,8.0,22200.0,0.00036036036036
Deptropine,4.0,649.0,0.00616332819723
Dequalinium,13.0,5270.0,0.00246679316888
Desethyl Fenfluramine,0.0,28.0,0.0
Desferrioxamine,201.0,33400.0,0.00601796407186
Desflurane,5810.0,35500.0,0.163661971831
Desipramine,2440.0,83200.0,0.0293269230769
Desloratadine,135.0,58700.0,0.00229982964225
Desmopressin,1010.0,54500.0,0.0185321100917
Desogestrel,106.0,62900.0,0.00168521462639
Desvenlafaxine,6320.0,32900.0,0.192097264438
Dexamethasone,13000.0,662000.0,0.0196374622356
Dexamphetamine,2820.0,72700.0,0.0387895460798
Dexfenfluramine,565.0,14000.0,0.0403571428571
Dexibuprofen,13300.0,10200.0,1.30392156863
Dexketoprofen,50.0,8130.0,0.00615006150062
Dexmedetomidine,4780.0,50500.0,0.0946534653465
Dexpanthenol,102.0,51500.0,0.00198058252427
Dexrazoxane,31.0,13100.0,0.00236641221374
Dextran,2010.0,543000.0,0.00370165745856
Dextranomer,3.0,4490.0,0.000668151447661
Dextrin,149.0,167000.0,0.000892215568862
Dextromethorphan,3650.0,132000.0,0.0276515151515
Dextromoramide,46.0,4440.0,0.0103603603604
Dextropropoxyphene,285.0,16600.0,0.0171686746988
Di Iodohydroxyquinoline,2.0,263.0,0.00760456273764
Diamorphine,320.0,24200.0,0.0132231404959
Diazepam,35400.0,705000.0,0.0502127659574
Diazolidinyl Urea,24.0,39200.0,0.000612244897959
Diazoxide,287.0,37900.0,0.00757255936675
Dibotermin Alfa,25.0,819.0,0.030525030525
Dibromopropamidine,1.0,533.0,0.00187617260788
Dichloralphenazone,125.0,3210.0,0.0389408099688
Dichlorobenzyl Alcohol,44.0,6190.0,0.00710823909532
Dichlorodifluoromethane,10.0,11000.0,0.000909090909091
Dichlorophen,3.0,3820.0,0.000785340314136
Dichlorphenamide,27.0,3120.0,0.00865384615385
Diclazepam,198.0,7410.0,0.0267206477733
Diclofenac,5570.0,546000.0,0.0102014652015
Dicloxacillin,106.0,29900.0,0.00354515050167
Dictamnus Desycarpus,0.0,24.0,0.0
Dicyclomine,4820.0,43900.0,0.10979498861
Didanosine,455.0,49700.0,0.00915492957746
Didecyl Dimethyl Azanium Chloride,59.0,32400.0,0.00182098765432
Dienoestrol,3.0,1030.0,0.00291262135922
Dienogest,133.0,18700.0,0.00711229946524
Diethylpropion,181.0,15800.0,0.0114556962025
Diethylstilbestrol,154.0,68600.0,0.00224489795918
Diflucortolone,9.0,4160.0,0.00216346153846
Diflunisal,132.0,25200.0,0.0052380952381
Digitalis,25300.0,502000.0,0.0503984063745
Digitoxin,23000.0,28700.0,0.801393728223
Digoxin,8400.0,441000.0,0.0190476190476
Digoxin Specific Antibody Fragments,869.0,7860.0,0.110559796438
Dihydrocodeine,335.0,33500.0,0.01
Dihydroergotamine,652.0,26800.0,0.024328358209
Dihydroxyacetone,32.0,49900.0,0.00064128256513
Diindolylmethane,83.0,33700.0,0.00246290801187
Diloxanide,29.0,5070.0,0.00571992110454
Diltiazem,10400.0,268000.0,0.0388059701493
Dimenhydrinate,2380.0,41400.0,0.0574879227053
Dimethindene,88.0,2510.0,0.0350597609562
Dimethothiazine,4760.0,115.0,41.3913043478
Dimethyl Ether,2730.0,535000.0,0.00510280373832
Dimethyl Fumarate,249.0,69700.0,0.00357245337159
Dimethyl Sulfone,1610.0,43700.0,0.0368421052632
Dimethyl Sulphoxide,1380.0,435000.0,0.0031724137931
Dimethylacetamide,1340.0,57300.0,0.0233856893543
Dimethyltryptamine,659.0,35400.0,0.018615819209
Dimeticone,99.0,12100.0,0.00818181818182
Dimocarpus,77.0,16500.0,0.00466666666667
Dinoprost,4.0,7750.0,0.000516129032258
Dinoprostone,31.0,14600.0,0.00212328767123
Dioscorea,242.0,117000.0,0.00206837606838
Diosmin,35.0,24300.0,0.00144032921811
Diphencyprone,9.0,2390.0,0.00376569037657
Diphenhydramine,10100.0,203000.0,0.0497536945813
Diphenidine,146.0,6320.0,0.0231012658228
Diphenoxylate,213.0,20600.0,0.0103398058252
Diphenyl Prolinol,61.0,4220.0,0.0144549763033
Diphenylpyraline,8.0,2180.0,0.00366972477064
Dipipanone,37.0,3000.0,0.0123333333333
Dipivefrine,68.0,1430.0,0.0475524475524
Dipropylene Glycol,2290.0,63300.0,0.0361769352291
Dipsacus,45.0,33200.0,0.00135542168675
Dipyridamole,13600.0,150000.0,0.0906666666667
Dipyrone,147.0,14400.0,0.0102083333333
Disopyramide,603.0,67100.0,0.00898658718331
Distigmine,58.0,1980.0,0.0292929292929
Disulfiram,3100.0,109000.0,0.0284403669725
Dithranol,58.0,15600.0,0.00371794871795
Dobutamine,881.0,126000.0,0.00699206349206
Docetaxel,2690.0,241000.0,0.0111618257261
Docosahexaenoic Acid,983.0,189000.0,0.00520105820106
Docusate,370.0,36000.0,0.0102777777778
Dofetilide,206.0,27500.0,0.00749090909091
Dog Hair,223000.0,36100000.0,0.00617728531856
Dolasetron,197.0,16300.0,0.0120858895706
Dolichos Lablab,39.0,13400.0,0.00291044776119
Domiphen,1.0,2140.0,0.000467289719626
Domperidone,1020.0,151000.0,0.00675496688742
Donepezil,11200.0,130000.0,0.0861538461538
Dopamine,53300.0,1800000.0,0.0296111111111
Dopexamine,28.0,5420.0,0.00516605166052
Doripenem,48.0,19000.0,0.00252631578947
Dorzolamide,72.0,27600.0,0.00260869565217
Dosulepin,115.0,6020.0,0.0191029900332
Dothiepin,203.0,8590.0,0.0236321303842
Doxapram,126.0,10100.0,0.0124752475248
Doxazosin,4830.0,117000.0,0.0412820512821
Doxepin,3990.0,95100.0,0.0419558359621
Doxorubicin,3000.0,525000.0,0.00571428571429
Doxycycline,18800.0,692000.0,0.0271676300578
Doxylamine,5060.0,79200.0,0.0638888888889
Dronabinol,2230.0,54000.0,0.0412962962963
Dronedarone,435.0,26700.0,0.0162921348315
Droperidol,2250.0,43900.0,0.0512528473804
Drospirenone,96.0,59700.0,0.00160804020101
Drostanolone,56.0,71600.0,0.000782122905028
Drotrecogin Alfa Activated,36.0,7520.0,0.00478723404255
Dryopteris,35.0,85900.0,0.000407450523865
Duloxetine,13900.0,147000.0,0.0945578231293
Dutasteride,5470.0,117000.0,0.0467521367521
Dydrogesterone,36.0,14800.0,0.00243243243243
Echinacea,3070.0,898000.0,0.00341870824053
Echinacea Purpurea Radix,53.0,9480.0,0.00559071729958
Eclipta Prostrata,195.0,14800.0,0.0131756756757
Econazole,42.0,27500.0,0.00152727272727
Ecothiopate,12.0,571.0,0.0210157618214
Eculizumab,462.0,25700.0,0.0179766536965
Edetic Acid,331.0,9290.0,0.0356297093649
Edrophonium,300.0,14500.0,0.0206896551724
Efalizumab,93.0,39000.0,0.00238461538462
Efavirenz,1910.0,143000.0,0.0133566433566
Eflornithine,9490.0,14500.0,0.654482758621
Eformoterol,4300.0,1760.0,2.44318181818
Efungumab,0.0,351.0,0.0
Eicosapentaenoic Acid,882.0,152000.0,0.00580263157895
Elaeis Guineensis,54.0,56300.0,0.000959147424512
Eletriptan,202.0,17600.0,0.0114772727273
Elettaria Cardamomum,156.0,26100.0,0.00597701149425
Eleutherococcus Senticosus,142.0,26500.0,0.00535849056604
Eltrombopag,73.0,19000.0,0.00384210526316
Elvitegravir,98.0,17000.0,0.00576470588235
Embelia Ribes,151.0,10200.0,0.0148039215686
Emedastine,30.0,4750.0,0.00631578947368
Emepronium,98.0,1360.0,0.0720588235294
Empagliflozin,46.0,29700.0,0.00154882154882
Emtricitabine,264.0,62800.0,0.00420382165605
Emu Oil,484.0,526000.0,0.000920152091255
Emulsifying Wax,81.0,42200.0,0.00191943127962
Enalapril,4280.0,298000.0,0.0143624161074
Enbucrilate,25200.0,1100.0,22.9090909091
Enflurane,5740.0,30100.0,0.190697674419
Enfuvirtide,118.0,18700.0,0.00631016042781
Enicostemma Littorale,25.0,2180.0,0.0114678899083
Enoxacin,46.0,14600.0,0.00315068493151
Enoxaparin,3660.0,95200.0,0.0384453781513
Enoximone,32.0,5030.0,0.00636182902584
Enoxolone,56.0,3700.0,0.0151351351351
Entacapone,224.0,27000.0,0.0082962962963
Entecavir,93.0,44300.0,0.0020993227991
Enzalutamide,237.0,31900.0,0.00742946708464
Ephedra,3970.0,230000.0,0.0172608695652
Ephedrine,4010.0,291000.0,0.0137800687285
Ephenidine,96.0,3310.0,0.029003021148
Epigallocatechin Gallate,783.0,102000.0,0.00767647058824
Epilobium,28.0,83500.0,0.000335329341317
Epimedium,408.0,151000.0,0.00270198675497
Epinephrine,8380.0,629000.0,0.0133227344992
Epirubicin,109.0,93500.0,0.00116577540107
Epitiostanol,0.0,1190.0,0.0
Eplerenone,89.0,32300.0,0.00275541795666
Epoprostenol,112.0,24300.0,0.00460905349794
Epothilone B,40.0,13000.0,0.00307692307692
Eprosartan,200.0,19100.0,0.0104712041885
Eptifibatide,93.0,27000.0,0.00344444444444
Equisetum,872.0,189000.0,0.00461375661376
Erdosteine,10.0,4820.0,0.00207468879668
Ergometrine,115.0,13300.0,0.00864661654135
Ergotamine,1050.0,51900.0,0.0202312138728
Eribulin,32.0,20500.0,0.00156097560976
Eriobotrya Japonica,1200.0,29600.0,0.0405405405405
Erlotinib,343.0,173000.0,0.00198265895954
Ertapenem,210.0,40400.0,0.00519801980198
Erythromycin,9110.0,752000.0,0.0121143617021
Erythropoietin,11300.0,362000.0,0.0312154696133
Erythrosine,67.0,17600.0,0.00380681818182
Erythroxylum,181.0,23500.0,0.00770212765957
Escitalopram,15200.0,253000.0,0.0600790513834
Eslicarbazepine,192.0,7480.0,0.0256684491979
Esmolol,816.0,39200.0,0.0208163265306
Esomeprazole,21600.0,99200.0,0.217741935484
Estradiol,19000.0,944000.0,0.0201271186441
Estramustine,38.0,18100.0,0.00209944751381
Estrogen,20500.0,2580000.0,0.00794573643411
Estrogen Equine,1720.0,48300.0,0.0356107660455
Estrogens_Unspecified,3.0,6.0,0.5
Estrone,252.0,100000.0,0.00252
Estropipate,13.0,6080.0,0.00213815789474
Etanercept,4770.0,146000.0,0.0326712328767
Ethacrynic Acid,117.0,21400.0,0.00546728971963
Ethambutol,298.0,94100.0,0.00316684378321
Ethamivan,6.0,664.0,0.00903614457831
Ethamsylate,20.0,3170.0,0.00630914826498
Ethanol,16500.0,5580000.0,0.00295698924731
Ethanolamine,268.0,182000.0,0.00147252747253
Ether,28400.0,3800000.0,0.00747368421053
Ethinyloestradiol,1930.0,13600.0,0.141911764706
Ethionamide,41.0,27500.0,0.00149090909091
Ethisterone,3.0,3540.0,0.000847457627119
Ethoglucid,0.0,242.0,0.0
Ethoheptazine,4.0,1070.0,0.00373831775701
Ethosuximide,1250.0,29300.0,0.042662116041
Ethyl Chloride,2420.0,798000.0,0.00303258145363
Ethyl Citrate,710.0,157000.0,0.00452229299363
Ethyl Hydroxybenzoate,92.0,23800.0,0.00386554621849
Ethyl Icosapent,20.0,2370.0,0.0084388185654
Ethyl Nicotinate,44.0,9410.0,0.00467587672689
Ethyl Salicylate,183.0,52500.0,0.00348571428571
Ethylcellulose,213.0,71100.0,0.00299578059072
Ethylene Glycol,1950.0,878000.0,0.00222095671982
Ethynodiol,6.0,4910.0,0.00122199592668
Etidocaine,82.0,5590.0,0.0146690518784
Etidronic Acid,38.0,13600.0,0.00279411764706
Etizolam,850.0,29600.0,0.0287162162162
Etodolac,238.0,74000.0,0.00321621621622
Etofenamate,8.0,3280.0,0.00243902439024
Etomidate,3290.0,37400.0,0.0879679144385
Etonogestrel,96.0,20200.0,0.00475247524752
Etoposide,1020.0,240000.0,0.00425
Etoricoxib,198.0,71000.0,0.00278873239437
Etravirine,236.0,20400.0,0.011568627451
Etretinate,38.0,13800.0,0.00275362318841
Eucalyptus,7260.0,2280000.0,0.00318421052632
Eucommia Ulmoides,83.0,13400.0,0.00619402985075
Eudragits,60.0,33700.0,0.00178041543027
Eugenia,7310.0,4320000.0,0.00169212962963
Eugenol,363.0,301000.0,0.00120598006645
Eupatorium,108.0,132000.0,0.000818181818182
Eupatorium Perfoliatum,40.0,23000.0,0.00173913043478
Euphrasia,59.0,78000.0,0.00075641025641
Euryale,89.0,66700.0,0.00133433283358
Euterpe,1010.0,239000.0,0.00422594142259
Everolimus,230.0,119000.0,0.00193277310924
Evodia,285.0,45700.0,0.0062363238512
Evodiae,191.0,2680.0,0.0712686567164
Examestane,66.0,1310.0,0.0503816793893
Exametazime,56.0,2430.0,0.0230452674897
Exemestane,4960.0,87100.0,0.0569460390356
Exenatide,2640.0,49000.0,0.0538775510204
Ezetimibe,4890.0,75000.0,0.0652
Factor I,302000.0,134000000.0,0.00225373134328
Factor Ii,610000.0,34800000.0,0.0175287356322
Factor Ix,510000.0,4580000.0,0.11135371179
Factor Vii,628000.0,4700000.0,0.133617021277
Factor Viii Recombinant,4860.0,93600.0,0.0519230769231
Factor Viii Unspecified,3910.0,22700.0,0.172246696035
Factor X,313000.0,114000000.0,0.00274561403509
Factor Xi,15600.0,5750000.0,0.00271304347826
Fagopyrum Esculentum,54.0,26500.0,0.00203773584906
Famciclovir,1420.0,66000.0,0.0215151515152
Famotidine,4940.0,89900.0,0.0549499443826
Fampridine,69.0,6230.0,0.0110754414125
Farletuzumab,3.0,2180.0,0.00137614678899
Fast Green Fcf,103.0,39800.0,0.00258793969849
Fats,410000.0,72200000.0,0.00567867036011
Fatty Acid Esters,3180.0,1070000.0,0.00297196261682
Fazadinium,40.0,964.0,0.0414937759336
Febuxostat,68.0,28100.0,0.00241992882562
Felbamate,781.0,22300.0,0.0350224215247
Felbinac,16.0,3840.0,0.00416666666667
Felodipine,582.0,54700.0,0.0106398537477
Felypressin,20.0,2170.0,0.00921658986175
Fenbufen,36.0,6740.0,0.0053412462908
Fencamfamin,15100.0,3050.0,4.95081967213
Fenclofenac,2.0,1770.0,0.00112994350282
Fenfluramine,483.0,42400.0,0.011391509434
Fenofibrate,5240.0,97900.0,0.0535240040858
Fenoprofen,237.0,16400.0,0.0144512195122
Fenoterol,105.0,32700.0,0.00321100917431
Fentanyl,14900.0,712000.0,0.0209269662921
Fenticonazole,5.0,3400.0,0.00147058823529
Feprazone,167.0,1750.0,0.0954285714286
Ferucarbotran,2.0,2760.0,0.000724637681159
Ferula Assa Foetida,103.0,9680.0,0.0106404958678
Ferumoxside,2.0,2210.0,0.000904977375566
Ferumoxsil,1.0,1350.0,0.000740740740741
Ferumoxytol,22.0,6980.0,0.00315186246418
Fesoterodine,37.0,7240.0,0.00511049723757
Fexofenadine,23900.0,95300.0,0.250786988458
Fibrinolysin,10.0,9110.0,0.00109769484083
Ficus Carica,657.0,186000.0,0.00353225806452
Ficus Hispida,161.0,17300.0,0.0093063583815
Filgrastim,132.0,61800.0,0.0021359223301
Filipendula Ulmaria,65.0,33200.0,0.0019578313253
Finasteride,3380.0,435000.0,0.00777011494253
Fingolimod,1050.0,48800.0,0.0215163934426
Fish Oil,32100.0,17800000.0,0.00180337078652
Flavonoid Compounds,3610.0,515000.0,0.00700970873786
Flavoxate,144.0,13900.0,0.0103597122302
Flecainide,1010.0,55000.0,0.0183636363636
Flosequinan,4.0,1710.0,0.00233918128655
Flubendazole,2.0,6360.0,0.000314465408805
Flubromazolam,185.0,5740.0,0.0322299651568
Fluclorolone Acetonide,5.0,796.0,0.00628140703518
Flucloxacillin,98.0,46700.0,0.00209850107066
Fluconazole,10100.0,382000.0,0.0264397905759
Flucytosine,74.0,28600.0,0.00258741258741
Fludarabine,243.0,74800.0,0.0032486631016
Fludrocortisone,3360.0,45600.0,0.0736842105263
Flufenamic Acid,405.0,11300.0,0.0358407079646
Flumazenil,6200.0,49600.0,0.125
Flumethasone,16.0,3430.0,0.00466472303207
Flunarizine,323.0,49100.0,0.0065784114053
Flunisolide,41.0,15400.0,0.00266233766234
Flunitrazepam,4170.0,57000.0,0.0731578947368
Fluocinolone,3730.0,34900.0,0.106876790831
Fluocinonide,44.0,18700.0,0.00235294117647
Fluocortolone,9.0,3310.0,0.00271903323263
Fluorescein,1240.0,768000.0,0.00161458333333
Fluorine 18,29000.0,683000.0,0.0424597364568
Fluorometholone,39.0,14700.0,0.00265306122449
Fluorouracil,2610.0,346000.0,0.00754335260116
Fluoxetine,23600.0,478000.0,0.0493723849372
Fluoxymesterone,54.0,47800.0,0.00112970711297
Flupenthixol,227.0,12000.0,0.0189166666667
Fluphenazine,1050.0,54500.0,0.0192660550459
Flupirtine,146.0,5920.0,0.0246621621622
Flurandrenolone,5070.0,427.0,11.8735362998
Flurazepam,2960.0,33800.0,0.087573964497
Flurbiprofen,198.0,54200.0,0.00365313653137
Fluspirilene,24.0,2380.0,0.0100840336134
Flutamide,147.0,53300.0,0.00275797373358
Fluticasone,4650.0,167000.0,0.0278443113772
Fluvastatin,2910.0,54300.0,0.053591160221
Fluvastin,2500.0,141.0,17.7304964539
Fluvoxamine,4180.0,129000.0,0.0324031007752
Foeniculum Vulgare,242.0,98300.0,0.00246185147508
Folic Acid,13800.0,1280000.0,0.01078125
Folinic Acid,164.0,63300.0,0.00259083728278
Follicle Stimulating Hormone,2510.0,336000.0,0.00747023809524
Follitropin Alfa,51.0,6150.0,0.00829268292683
Follitropin Beta,49.0,7510.0,0.00652463382157
Fomepizole,97.0,6590.0,0.0147192716237
Fomivirsen Sodium,10.0,1190.0,0.00840336134454
Fondaparinux,210.0,38500.0,0.00545454545455
Formaldehyde,6120.0,1570000.0,0.00389808917197
Formestane,4.0,6550.0,0.000610687022901
Formic Acid,2050.0,522000.0,0.00392720306513
Forodesine,4.0,1480.0,0.0027027027027
Forsythia,477.0,267000.0,0.00178651685393
Fosamprenavir,499.0,22600.0,0.0220796460177
Fosaprepitant,127.0,8350.0,0.0152095808383
Foscarnet Sodium,147.0,9870.0,0.0148936170213
Fosfestrol,2.0,2010.0,0.000995024875622
Fosfomycin,66.0,35800.0,0.00184357541899
Fosinopril,149.0,36800.0,0.00404891304348
Fosphenytoin,446.0,15700.0,0.0284076433121
